Plot,Species,Lifeform,Treatment,Structure,photo,lma,wp,leaf.n,g,e,phis2,wue,rld,srl,rdiam,fitness,canopy,rtd,relfit,relcanopy
A2-8,Arca,P,M,A,24.81447292,57.9345421,-1.85,3.605,0.302285714,3.982857143,0.239,6.06456241,2.366968609,32.89355641,0.4699,757,0.801705,0.175503356,0.382755952,-0.206232673
A3-2,Arca,P,M,A,14.95255359,76.4120093,-2.05,3.26,0.1125,1.864285714,0.199,8.222222222,,,,2814,1.14048,,1.422820671,0.129188119
A4-6,Arca,P,M,A,26.44014276,68.85993502,-2.05,3.12,0.186,2.945333333,0.284,9.764599366,5.59583276,18.73755639,0.355,4352,2.283876,0.538734177,2.200467506,1.261263366
A5-5,Arca,P,M,A,32.48323759,57.92657758,-2,3.08,0.508571429,6.114285714,0.284,5.295950156,,,,7131,1.135575,,3.605591403,0.124331683
A6-5,Arca,P,M,A,24.29757857,52.96034156,-2.3,2.88,0.416435519,6.334528789,0.172497137,4.256783005,5.172786135,46.0738375,0.3466,37,0.4977,0.229885057,0.018708019,-0.507227723
A7-3,Arca,P,M,A,18.77576282,60.05455495,-2.1,2.84,0.292133333,4.08,0.262,4.918300654,5.660010686,74.03726248,0.2557,2790,0.57072,0.263135593,1.41068574,-0.434930693
A8-8,Arca,P,M,A,20.61544713,71.50693168,-2.2,3.11,0.201185185,3.211851852,0.216,7.403136531,3.835523704,27.07001905,0.3318,9706,0.78174,0.426829268,4.907568385,-0.226
B1-9,Arca,P,H,B,27.60819512,108.4947458,-2.05,2.19,0.2606,3.646,0.212,7.427317608,5.575903227,23.26954517,0.3726,1438,0.51,0.394348894,0.727084622,-0.495049505
B2-4,Arca,P,H,B,20.16617446,65.92842262,-1.8,3.197504303,0.200490532,3.23041127,0.217168336,6.474130717,6.243904066,91.00513636,0.321,4276,1.376622,0.135802469,2.162040224,0.362992079
B3-7,Arca,P,H,B,36.57114344,73.31438558,-2,3.157752809,0.506,6.79,0.248,5.312223859,,,,5788,0.82344,,2.926540883,-0.184712871
B4-2,Arca,P,H,B,21.11903975,70.63796019,-1.5,3.26,0.18356,3.476469855,0.23447336,6.595612679,5.973035851,22.86150286,0.336,1678.5,0.858494,0.492957746,0.848686744,-0.150005941
B5-2,Arca,P,H,B,24.53043985,71.59795305,-1.65,3.1,0.2995,4.27,0.218,5.786885246,9.896709136,32.65857297,0.3823,2509.5,1.4406,0.266810345,1.268858733,0.426336634
B6-1,Arca,P,H,B,22.46155835,56.41438388,-1.75,3.596842105,0.209183333,4.003736553,0.219062261,6.021141608,,,,481,1.13498,,0.243204244,0.123742574
B7-8,Arca,P,H,B,23.33704603,94.62166206,-1.7,2.557786218,0.214742857,3.115428571,0.237,7.633895818,5.607721668,88.60304348,0.4255,2402,3.02085,0.079310345,1.214504354,1.990940594
B8-6,Arca,P,H,B,20.43525145,79.63940497,-1.4,3.259555048,0.199647059,2.888235294,0.197,7.845213849,,,,7842,1.3516,,3.965088737,0.338217822
C2-3,Arca,P,H,C,43.48193678,65.22129345,-1.6,3.43,0.501904762,4.866666667,0.276,8.043052838,5.749969142,31.47111594,0.3755,896,1.63175,0.286902287,0.453037428,0.615594059
C3-6,Arca,P,H,C,31.54989386,,-1.4,4.705,0.516666667,6.522222222,0.203,4.679727428,3.439216809,52.95634483,0.3918,831,1.0846,0.15647482,0.420171989,0.073861386
C4-4,Arca,P,H,C,20.39573635,61.37932173,-1.35,3.43,0.1228,1.396,0.22,13.93505253,4.870510981,26.41279646,0.3609,2058,0.789488,0.370491803,1.040570342,-0.218328713
C5-9,Arca,P,H,C,28.76423582,51.71306639,-1.5,4.31,0.329666667,4.422222222,0.311,6.424623116,,,,1994,2.19705,,1.008210525,1.17529703
C6-9,Arca,P,H,C,28.35125098,55.67826857,-1.9,3.93,0.317111111,3.722222222,0.217,7.63880597,,,,4280,2.3562,,2.164062713,1.332871287
C7-7,Arca,P,H,C,13.56205846,69.28211669,-1.8,3.69,0.149916667,2.27,0.204,6.196769457,6.95656245,150.4177931,0.2479,6705,1.485,0.138095238,3.390196376,0.47029703
C8-4,Arca,P,H,C,26.66721645,61.8990643,-1.925,3.47,0.449166667,6.275,0.261,4.634794157,6.401990798,103.3705172,0.321,1848,0.913752,0.119411765,0.934389695,-0.09529505
D1-2,Arca,P,L,D,38.4296323,61.8922508,-1.525,3.56,0.396051324,5.094300199,0.203334613,7.781828544,7.123100542,122.1908025,0.2914,696.5,0.69615,0.122727273,0.352165813,-0.310742574
